"order_id","order_date","product_id","subtotal","discount","total","payment","purchase_status","discount_abs","is_confirmed","delivery_id","delivery_service","freight_price","delivery_forecast","delivery_date","delivery_status","delivery_lead_time","delivery_delay","estimated_lead_time","is_late","freight_share","is_cancelled","cancellation_by_payment","category","subcategory","product_price"
9,2025-05-04 04:29:08.000,P0009,449.00,0.0097,467.54,PIX,Em Analise,4.355300,0,D00009,Standard,22.90,2025-04-19 11:03:14.000,2025-04-22 11:03:14.000,Trânsito,0,3,0,1,0.04897976643709629123,0,PIX - Em Analise,Eletrônicos,Áudio e Vídeo,949.00
10,2025-04-16 20:57:08.000,P0010,9149.97,0.1448,7867.95,PIX,Cancelado,1324.915656,0,D00010,Same-Day,42.90,2025-05-11 06:11:00.000,2025-05-14 06:11:00.000,A Caminho,28,3,25,1,0.00545250033363201342,1,PIX - Cancelado,Eletrônicos,Áudio e Vídeo,1079.00
11,2025-04-16 02:03:43.000,P0011,4316.00,0.0228,4260.50,Debito,Em Analise,98.404800,0,D00011,Same-Day,42.90,2025-04-14 07:35:31.000,2025-04-18 07:35:31.000,Atrasado,2,4,0,1,0.01006924069944842155,0,Debito - Em Analise,Eletrônicos,Áudio e Vídeo,1072.00
12,2025-03-25 09:52:22.000,P0012,1539.80,0.0442,1504.73,Credito,Confirmado,68.059160,1,D00012,Scheduled,32.99,2025-04-25 00:24:52.000,2025-04-29 00:24:52.000,Atrasado,35,4,31,1,0.02192419902573883687,0,Credito - Confirmado,Eletrônicos,Áudio e Vídeo,769.90
14,2025-02-26 12:39:38.000,P0014,4316.00,0.0615,4093.47,Boleto,Processando,265.434000,0,D00014,Same-Day,42.90,2025-05-11 16:28:28.000,2025-05-13 16:28:28.000,Trânsito,76,2,74,1,0.01048010612023539931,0,Boleto - Processando,Eletrônicos,Áudio e Vídeo,2742.13
15,2025-03-05 23:27:59.000,P0015,259.72,0.0272,295.56,Credito,Processando,7.064384,0,D00015,Same-Day,42.90,2025-04-28 11:37:36.000,2025-05-01 11:37:36.000,Trânsito,57,3,54,1,0.14514819326025172554,0,Credito - Processando,Eletrônicos,Áudio e Vídeo,428.99
16,2025-03-06 14:45:45.000,P0016,103.60,0.0701,119.24,Debito,Cancelado,7.262360,0,D00016,Standard,22.90,2025-04-30 05:10:29.000,2025-05-05 05:10:29.000,Atrasado,60,5,55,1,0.19204964776920496478,1,Debito - Cancelado,Eletrônicos,Áudio e Vídeo,899.00
17,2025-02-28 06:40:58.000,P0017,3253.14,0.0853,3008.64,Boleto,Confirmado,277.492842,1,D00017,Scheduled,32.99,2025-05-05 01:49:22.000,2025-05-09 01:49:22.000,Trânsito,70,4,66,1,0.01096508721548606679,0,Boleto - Confirmado,Eletrônicos,Informática,4604.00
18,2025-03-11 05:37:17.000,P0018,107.80,0.0679,143.38,Credito,Processando,7.319620,0,D00018,Same-Day,42.90,2025-04-19 06:49:11.000,2025-04-23 06:49:11.000,Trânsito,43,4,39,1,0.29920491002929278839,0,Credito - Processando,Eletrônicos,Informática,1626.57
19,2025-05-08 04:47:07.000,P0019,249.82,0.1378,238.29,Credito,Cancelado,34.425196,0,D00019,Standard,22.90,2025-05-07 11:50:38.000,2025-05-10 11:50:38.000,Trânsito,2,3,0,1,0.09610138906374585589,1,Credito - Cancelado,Eletrônicos,Informática,165.99
